disco_duro_tipo_disco_duro,procesador_frecuencia_turbo_máx__GHz,tipo_producto,tipo,medidas_profundidad_cm,sonido_número_altavoces,medidas_peso_kg,gráfica_salida_vídeo,disco_duro_capacidad_memoria_ssd_GB,procesador_número_hilos_ejecución,procesador_tdp_W,procesador_número_núcleos_procesador_cores,título,company_name,comunicaciones_conectividad,medidas_ancho_cm,almacenamiento_lector_óptico,ram_memoria_ram_GB,sistema_operativo_sistema_operativo,otras_características_fecha_lanzamiento,procesador_nivel_caché,ram_tipo_ram,gráfica_tarjeta_gráfica,pantalla_tamaño_pantalla_pulgadas,medidas_alto_cm,ofertas_count,pantalla_diagonal_pantalla_cm,medidas_altura_mm,gráfica_memoria_gráfica,pantalla_tecnología_pantalla,alimentación_vatios_hora_Wh,ram_frecuencia_memoria_MHz,disco_duro_número_discos_duros_instalados,alimentación_autonomía_batería_h,pantalla_luminosidad_cd_m2,procesador_frecuencia_reloj,procesador_frecuencia_reloj,procesador_caché_MB,procesador_name,equip_Force Touch Trackpad,equip_ScreenPad,equip_Touch Bar,equip_Touch ID,equip_Touchpad multitáctil,equip_TrackPoint / TouchStick / Pointing Stick,equip_USB-C,equip_altavoces estéreo,equip_altavoces estéreo JBL,equip_altavoz integrado,equip_con iluminación,equip_conector de seguridad Kensington,equip_disco duro SSD,equip_lector de tarjetas,equip_lector de tarjetas inteligentes,equip_micrófono integrado,equip_refrigeración líquida,equip_webcam,color,
7944,disco duro SSD,4.1,PC gaming,Desktop,,,,,1000.0,12.0,65.0,6.0,Vibox V-8 Gaming PC Ryzen 5 4500 / RTX 3050,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 3050,,,1,,,8192 MB,,,,,,,3.600 MHz,"3,6 GHz",8.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
4875,disco duro M.2 SSD,4.3,Mini PC,Desktop,12.0,,,,1000.0,16.0,15.0,8.0,"Blackview MP100
R7-5700U + 16GB + 1TB",Blackview,"wifi, Bluetooth, Ethernet",12.0,ninguno,16.0,Microsoft Windows 11 Professional,,,DDR4,AMD Radeon Graphics,,4.0,2,,,memoria compartida,,,3200.0,1.0,,,1.800 MHz,"1,8 GHz",8.0,AMD Ryzen 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
196,SSD,,Portátil multimedia,Laptop,21.0,4.0,1.24,Thunderbolt 4,512.0,,,,"Apple MacBook Air 13"" 2024 M3
Silver MXCT3Y/A",Apple,"wifi, Bluetooth",30.0,ninguno,16.0,macOS Sequoia,2024.0,,,Apple M3 Graphics,13.6,,8,34.0,11.0,memoria compartida,Retina,52.6,,1.0,15.0,500.0,,,,Apple M3,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,plateado
6911,disco duro SSD,4.3,PC de oficina,Desktop,,,,,256.0,8.0,65.0,4.0,Actina Desktop-PC 8GB RAM i3-10100 256GB SSD (S9117431),Actina,,,,8.0,,,,,,,,1,,,,,,,1.0,,,3.600 MHz,"3,6 GHz",6.0,Intel Core i3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
3647,,5.5,Portátil gaming,Laptop,24.0,4.0,2.45,,2000.0,,,24.0,"Razer Blade 16 (2023)
RZ09-0483UFJ4-R3F1",Razer,"wifi, Bluetooth",35.0,ninguno,32.0,Windows 11 Home,2023.0,L3,DDR5,NVIDIA GeForce RTX 4090,16.0,,1,40.0,22.0,16.384 MB / 16 GB,WUXGA,95.0,5600.0,1.0,,,"1,6 GHz",,36.0,Intel Core i9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,negro
417,,,Portátil multimedia,Laptop,22.0,2.0,1.45,HDMI,,,,,Lenovo IdeaPad 5 Pro 14,Lenovo,"Bluetooth, wifi",31.0,,,,2021.0,,,,14.0,,4,35.0,17.0,,,,,,10.0,300.0,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,
1805,SSD,5.0,Portátil multimedia,Laptop,25.0,2.0,2.1,HDMI 2.1,1000.0,,,14.0,"MSI Prestige 16 EVO A13M
A13VF-089",MSI,"Bluetooth, wifi",35.0,,16.0,Windows 11 Professional,2023.0,L3,LPDDR5,NVIDIA GeForce RTX 4060,16.0,,1,40.0,17.0,8.192 MB / 8 GB,WQXGA,82.0,4800.0,1.0,,,"1,8 GHz",,24.0,Intel Core i7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,plateado
7279,disco duro SSD,4.1,PC gaming,Desktop,,,,,480.0,12.0,65.0,6.0,Vibox V-106 Gaming PC Ryzen 5 4500 / RTX 3070,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 3070,,,1,,,8192 MB,,,,,,,3.600 MHz,"3,6 GHz",8.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
5809,disco duro SSD,4.1,PC gaming,Desktop,,,,,480.0,12.0,65.0,6.0,Vibox V-113 PC Gamer Ryzen 5 4500 / RTX 3070,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 3070,,,1,,,8192 MB,,,,,,,3.600 MHz,"3,6 GHz",8.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
434,SSD,4.75,Portátil gaming,Laptop,24.0,2.0,2.1,HDMI,1000.0,,,8.0,"Acer Nitro V 15 ANV15-41
ANV15-41-R9Q8",Acer,"LAN, wifi, Bluetooth",36.0,,32.0,sin sistema operativo,2024.0,L3,DDR5,NVIDIA GeForce RTX 4060,15.6,,1,39.0,24.0,8.192 MB / 8 GB,,,,,7.5,,"3,2 GHz",,16.0,AMD Ryzen 7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,negro
6952,disco duro SSD,4.8,PC gaming,Desktop,,,,,2000.0,20.0,65.0,14.0,Actina ENDORFY 13500 / 32GB / 2TB / RTX4070TI / 750W,Actina,,,,32.0,,,,,NVIDIA GeForce RTX 4070 Ti,,,1,,,,,,,,,,2.500 MHz,"2,5 GHz",24.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
8057,disco duro M.2 SSD,4.9,PC gaming,Desktop,,,,,1000.0,16.0,65.0,8.0,Vibox IV-8 Gaming PC i7-11700F / RTX 3050,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 3050,,,1,,,8192 MB,,,,,,,2.500 MHz,"2,5 GHz",16.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
5182,disco duro SSD,4.6,PC de oficina,Desktop,34.0,,,,256.0,,65.0,6.0,"Lenovo ThinkCentre M80s SFF
11TL0002FR",Lenovo,Ethernet,9.0,grabadora DVD,8.0,Microsoft Windows 11 Professional,,,DDR5,,,29.0,2,,,memoria compartida,,,4400.0,1.0,,,,3 GHz,18.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
7352,disco duro M.2 SSD,5.8,PC gaming,Desktop,,,,,1000.0,32.0,125.0,24.0,Vibox X-220 SG PC Gamer i9-13900KF / RTX 4060 Ti,Vibox,wifi,,,32.0,,,,DDR4,NVIDIA GeForce RTX 4060 Ti,,,1,,,,,,,,,,3.000 MHz,3 GHz,36.0,Intel Core i9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2127,,4.4,Portátil multimedia,Laptop,24.0,2.0,1.69,HDMI,512.0,,,10.0,"HP 15s (2022)
15s-fq5017ns",HP,"wifi, Bluetooth",35.0,ninguno,8.0,Windows 11 Home,2022.0,L3,DDR4,Intel Iris Xe Graphics,15.6,,3,39.0,18.0,memoria compartida,Full HD,41.0,3200.0,1.0,7.5,250.0,"0,9 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,plateado
2621,SSD,4.6,Portátil multimedia,Laptop,23.0,,1.65,HDMI,256.0,,,8.0,"Lenovo V15 G4
83A1008VIX",Lenovo,"LAN, wifi, Bluetooth",35.0,,8.0,Windows 11 Professional,2023.0,L3,DDR4,,15.6,,1,39.0,20.0,,,38.0,,,8.4,250.0,"1,5 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,negro
1121,,4.4,Portátil gaming,Laptop,25.0,2.0,1.86,HDMI,512.0,,,8.0,"MSI Thin GF63 12U
12UC-690XES",MSI,"LAN, wifi, Bluetooth",35.0,ninguno,16.0,sin sistema operativo,2023.0,L3,DDR4,NVIDIA GeForce RTX 3050,15.6,,8,39.0,22.0,4.096 MB / 4 GB,Full HD,52.4,3200.0,1.0,,,"1,5 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,negro
5685,disco duro SSD,4.6,PC gaming,Desktop,,,,,500.0,16.0,65.0,8.0,PcCom Work Ryzen 7 5700G / 16GB / 500GB SSD (S7829376),PcCom,,,ninguno,16.0,,,,,,,,2,,,,,,,,,,3.800 MHz,"3,8 GHz",16.0,AMD Ryzen 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
7886,disco duro SSD,5.4,PC gaming,Desktop,,,,,1000.0,24.0,125.0,16.0,PcCom Ultimate i7-13700KF 32GB RAM 1TB SSD,PcCom,,,,32.0,,,,,NVIDIA GeForce RTX 4070,,,1,,,,,,,,,,3.400 MHz,"3,4 GHz",30.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2250,,4.6,Portátil multimedia,Laptop,26.0,2.0,1.87,,512.0,,,10.0,"Acer TravelMate P2 16 TMP216-51
TMP216-51-TCO-5584",Acer,"wifi, Bluetooth, LAN",35.0,ninguno,16.0,Windows 11 Professional,2023.0,L3,DDR4,Intel Iris Xe Graphics,16.0,,1,40.0,23.0,memoria compartida,WUXGA,50.0,,1.0,12.0,,"0,9 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,gris
2413,SSD,2.4,Portátil profesional,Laptop,22.0,2.0,1.79,HDMI,128.0,,,2.0,"Innjoo Voom Pro
gris",Innjoo,,32.0,ninguno,6.0,Windows 10 Home,,L2,,Intel HD Graphics 500,14.1,,2,35.0,2.0,memoria compartida,Full HD,,,1.0,6.0,,"1,1 GHz",,2.0,Intel Celeron,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,gris
5362,disco duro M.2 SSD,4.4,PC gaming,Desktop,45.0,,14.0,USB-C,1000.0,12.0,65.0,6.0,"Lenovo Legion T5 26
26IAB7 (90SV0087ES)",Lenovo,"Ethernet, wifi, Bluetooth",18.0,,16.0,FreeDOS,,,DDR5,NVIDIA GeForce RTX 3070,,45.0,1,,,8192 MB,,,4800.0,1.0,,,2.500 MHz,,18.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
1689,,4.7,Portátil multimedia,Laptop,24.0,2.0,1.78,HDMI 2.0,512.0,,,10.0,"Acer Extensa 15 EX215-55
EX215-55-72GP",Acer,"wifi, Bluetooth, LAN",36.0,ninguno,8.0,Windows 11 Home,2023.0,,DDR4,Intel UHD Graphics,15.6,,9,39.0,20.0,memoria compartida,Full HD,40.0,3200.0,,5.5,,"3,5 GHz",,12.0,Intel Core i7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,gris
1208,SSD,,Portátil multimedia,Laptop,24.0,6.0,2.14,,1000.0,,,16.0,"Apple MacBook Pro 16"" M4 (2024)
Silver MX2W3Y/A",Apple,"Bluetooth, wifi",35.0,ninguno,48.0,macOS Sequoia,2024.0,,,Apple M4 Max Graphics,16.2,,9,41.0,17.0,memoria compartida,Retina,100.0,,1.0,14.0,1000.0,,,,Apple M4 Max,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,plateado
2568,SSD,3.7,Portátil multimedia,Laptop,23.0,2.0,1.53,,256.0,,,4.0,"HP EliteBook 745 G6
7KP21EA",HP,"LAN, wifi, Bluetooth",32.0,ninguno,8.0,Windows 10 Professional,2019.0,L3,DDR4,AMD Radeon RX Vega 8,14.0,,3,35.0,18.0,8.192 MB,Full HD,51.0,2666.0,1.0,,,"2,1 GHz",,6.0,AMD Ryzen,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,gris
5140,disco duro M.2 SSD,4.5,Workstation,Desktop,43.0,,,,1000.0,24.0,280.0,12.0,"Dell Precision 7865 Tower
29GFV",Dell,Ethernet,17.0,ninguno,32.0,Microsoft Windows 11 Professional,,,DDR4,,,41.0,2,,,,,,3200.0,1.0,,,,"4,1 GHz",64.0,AMD Ryzen Threadripper PRO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,negro
608,,4.3,Portátil profesional,Laptop,25.0,,2.2,VGA,512.0,,,12.0,"Dell Latitude 15 3550
V21RM",Dell,"wifi, Bluetooth, LAN",37.0,ninguno,16.0,Windows 11 Professional,2015.0,L3,DDR5,Intel Graphics,15.6,,12,39.0,34.0,memoria compartida,Full HD,,5600.0,1.0,4.5,,"1,3 GHz",,12.0,Intel Core Ultra 5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,gris
6185,disco duro M.2 SSD,4.6,Workstation,Desktop,44.0,,10.2,,512.0,24.0,165.0,12.0,"HP Workstation Z4 G4
4F7N7EA",HP,Ethernet,16.0,ninguno,16.0,Microsoft Windows 10 Professional,,,DDR4,,,38.0,1,,,,,,2933.0,1.0,,,,"3,5 GHz",19.0,Intel Core i9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,negro
890,,4.5,Portátil multimedia,Laptop,24.0,,1.6,HDMI,512.0,,,8.0,"HP 255 G10
8A4Y4EA32GB",HP,"LAN, wifi, Bluetooth",35.0,ninguno,32.0,Windows 11 Home,2023.0,L3,DDR4,AMD Radeon Graphics,15.6,,5,39.0,20.0,memoria compartida,Full HD,41.0,3200.0,1.0,,250.0,2 GHz,,16.0,AMD Ryzen 7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,plateado
1232,SSD,,Portátil multimedia,Laptop,23.0,6.0,1.51,Thunderbolt 4,256.0,,,,"Apple MacBook Air 15"" 2024 M3
Starlight MC9F4Y/A",Apple,"wifi, Bluetooth",34.0,ninguno,16.0,macOS Sequoia,2024.0,,,Apple M3 Graphics,15.3,,9,38.0,12.0,memoria compartida,Retina,66.5,,1.0,15.0,500.0,,,,Apple M3,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,dorado
2633,SSD,3.4,Portátil profesional,Laptop,24.0,,1.8,,256.0,,,2.0,"Dell Vostro 3501
T67NX",Dell,"wifi, Bluetooth, LAN, infrarrojos",36.0,ninguno,8.0,Windows 10 Professional,,L3,DDR4,Intel UHD Graphics,15.6,,2,39.0,19.0,memoria compartida,Full HD,,2666.0,1.0,,,"1,2 GHz",,4.0,Intel Core i3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
3076,PCIe SSD,4.3,Portátil multimedia,Laptop,23.0,2.0,1.6,HDMI,1000.0,,,4.0,"Lenovo IdeaPad 1 15
82VG00M5GE",Lenovo,"wifi, Bluetooth",36.0,,16.0,Windows 11 Home,2022.0,L3,LPDDR5,AMD Radeon 610M,15.6,,1,39.0,18.0,memoria compartida,Full HD,42.0,,1.0,7.5,250.0,"2,8 GHz",,4.0,AMD Ryzen 5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,gris
6679,disco duro M.2 SSD,4.3,Mini PC,Desktop,,,,,,8.0,89.0,4.0,"Acer X2 VX2690G
DT.VWNEB.020",Acer,Ethernet,,ninguno,8.0,ninguno,,,DDR4,Intel UHD Graphics 730,,,1,,,memoria compartida,,,,,,,3.300 MHz,,12.0,Intel Core i3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
3994,SSD,5.1,Portátil multimedia,Laptop,22.0,2.0,1.3,,1000.0,,,8.0,"HP EliteBook 845 G10
926V4ES",HP,"wifi, Bluetooth",31.0,,16.0,Free DOS,2023.0,L3,,AMD Radeon 780M,14.0,,1,35.0,19.0,memoria compartida,WUXGA,51.0,,1.0,,1000.0,"3,3 GHz",,16.0,AMD Ryzen 7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,plateado
5180,disco duro SSD,4.6,PC gaming,Desktop,,,,,1000.0,16.0,65.0,8.0,"Captiva Highend Gaming R80
R80-910",Captiva,wifi,,,32.0,Microsoft Windows 11 Home,,,,NVIDIA GeForce RTX 4070,,,1,,,12288 MB,,,,,,,3.400 MHz,"3,4 GHz",32.0,AMD Ryzen 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
1951,,5.4,Portátil gaming,Laptop,24.0,4.0,2.1,HDMI 2.0,1000.0,,,14.0,"ASUS ROG Flow X16 GV601
GV601VI-NL017W",ASUS,"Bluetooth, wifi",35.0,ninguno,32.0,Windows 11 Home,2022.0,L3,DDR5,NVIDIA GeForce RTX 4070,16.0,,1,40.0,19.0,8.192 MB / 8 GB,WQXGA,90.0,4800.0,1.0,,,"1,9 GHz",,24.0,Intel Core i9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,negro
5406,disco duro M.2 SSD,4.4,Mini PC,Desktop,17.0,,1.42,,512.0,12.0,74.0,6.0,"HP Pro Mini 400 G9
6B2S3EA",HP,"Ethernet, wifi, Bluetooth",17.0,ninguno,16.0,Microsoft Windows 10 Professional,,,DDR4,Intel UHD Graphics 770,,3.0,1,,,memoria compartida,,,3200.0,1.0,,,2.000 MHz,2 GHz,18.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
2546,,4.0,Portátil multimedia,Laptop,24.0,2.0,1.69,HDMI,256.0,,,6.0,"HP 15s (2021)
15s-eq2056nf",HP,"wifi, Bluetooth",35.0,ninguno,8.0,Windows 11 Home,2019.0,L3,DDR4,AMD Radeon,15.6,,1,39.0,18.0,memoria compartida,Full HD,41.0,,1.0,7.25,250.0,"2,1 GHz",,8.0,AMD Ryzen 5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,gris
3073,SSD,,Portátil multimedia,Laptop,24.0,2.0,1.75,HDMI,,,,12.0,Acer Swift X SFX16-52,Acer,"Bluetooth, wifi",35.0,,16.0,Windows 11 Home,2022.0,L3,,Intel Arc A370M,16.0,,1,40.0,18.0,,,,,1.0,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
2299,PCIe SSD,4.2,Portátil gaming,Laptop,25.0,,1.86,HDMI 2.0,512.0,,,6.0,"MSI Bravo 15
B5ED-019XES",MSI,"LAN, Bluetooth",35.0,ninguno,8.0,Free DOS,2020.0,L3,DDR4,AMD Radeon RX 6500M,15.6,,1,39.0,22.0,4.096 MB / 4 GB,Full HD,,3200.0,1.0,,,"3,3 GHz",,16.0,AMD Ryzen 5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,negro
1171,SSD,4.75,Portátil profesional,Laptop,25.0,2.0,1.7,,1000.0,,,8.0,"Lenovo ThinkBook 16 G7 (2024)
21MW001FGE",Lenovo,"LAN, wifi, Bluetooth",35.0,ninguno,32.0,Windows 11 Professional,2024.0,L3,,AMD Radeon 680M,16.0,,2,40.0,17.0,memoria compartida,WUXGA,45.0,,1.0,16.0,300.0,"3,2 GHz",,16.0,AMD Ryzen 7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,gris
4855,disco duro SSD,,PC gaming,Desktop,,,,,1000.0,12.0,,6.0,PC Racing Gaming AMD Ryzen 5 5600G/16GB/1TB SSD + WIFI (8434631438574),Gaming,"wifi, Ethernet",,ninguno,16.0,Microsoft Windows 11 Professional,,,DDR4,AMD Radeon Graphics,,,2,,,memoria compartida,,,5600.0,1.0,,,,"3,9 GHz",,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
6886,disco duro M.2 SSD,5.8,PC gaming,Desktop,,,,,1000.0,32.0,125.0,24.0,Vibox X-50 Gaming PC i9-13900KF / RTX 3060 Ti,Vibox,wifi,,,32.0,,,,DDR4,NVIDIA GeForce RTX 3060 Ti,,,1,,,8192 MB,,,,,,,3.000 MHz,3 GHz,36.0,Intel Core i9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
6347,disco duro M.2 SSD,4.9,PC de oficina,Desktop,29.0,,,,512.0,20.0,180.0,12.0,"Lenovo ThinkCentre M70t Gen 3 Tower
12Q6000AGE",Lenovo,Ethernet,14.0,grabadora DVD,16.0,Microsoft Windows 11 Professional,,,DDR4,Intel UHD Graphics 730,,34.0,1,,,,,,3200.0,1.0,,,2.100 MHz,"2,1 GHz",25.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
4430,disco duro SSD,,PC gaming,Desktop,39.0,,13.8,,1000.0,,,,"HP OMEN 25L GT15
GT15-1094ns",HP,"Ethernet, wifi, Bluetooth",16.0,ninguno,16.0,FreeDOS,,,DDR5,NVIDIA GeForce RTX 4060,,44.0,2,,,8192 MB,,,5200.0,1.0,,,,,,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,negro
7170,disco duro SSD,4.1,PC gaming,Desktop,,,,,1000.0,12.0,65.0,6.0,Vibox V-112 Gaming PC Ryzen 5 4500 / RTX 3070,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 3070,,,1,,,8192 MB,,,,,,,3.600 MHz,"3,6 GHz",8.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
3351,,4.4,Portátil multimedia,Laptop,20.0,2.0,0.9,Thunderbolt 4,512.0,,,12.0,"Lenovo ThinkPad X1 nano G2
21E8002AFR",Lenovo,"wifi, Bluetooth",29.0,ninguno,16.0,Windows 11 Professional,2022.0,L3,LPDDR5,Intel Iris Xe Graphics,13.0,,1,33.0,15.0,memoria compartida,,49.5,5200.0,1.0,18.0,450.0,"1,2 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,negro
